id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,rating,coordinates/latitude,coordinates/longitude,transactions/0,transactions/1,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,location/display_address/2
uZaT6J821lHMFrfrFno7lg,herban-fix-vegan-kitchen-atlanta,Herban Fix - Vegan Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/DLVyDzPWJi5gvM3U5L2C5Q/o.jpg,false,https://www.yelp.com/biz/herban-fix-vegan-kitchen-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,902,vegan,Vegan,vegetarian,Vegetarian,asianfusion,Asian Fusion,4.5,33.7700811335769,-84.3849544543691,delivery,,$$,565-A Peachtree St NE,,,Atlanta,30308,US,GA,565-A Peachtree St NE,"Atlanta, GA 30308",+14048158787,(404) 815-8787,1155.6210815257718,
Z2qMwUhnGt_2pA9uQbS7Uw,the-vortex-bar-and-grill-midtown-atlanta,The Vortex Bar And Grill - Midtown,https://s3-media4.fl.yelpcdn.com/bphoto/G3yU2A_ejrasV5tzoxMzew/o.jpg,false,https://www.yelp.com/biz/the-vortex-bar-and-grill-midtown-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,1958,burgers,Burgers,tradamerican,American (Traditional),bars,Bars,4,33.779051,-84.384438,delivery,,$$,878 Peachtree St NE,,,Atlanta,30309,US,GA,878 Peachtree St NE,"Atlanta, GA 30309",+14048751667,(404) 875-1667,1365.3497623876783,
U9SK3eMMp1_MqLbRF8XjSQ,botiwalla-atlanta,Botiwalla,https://s3-media3.fl.yelpcdn.com/bphoto/6IiQffNruj1XFNlwpZk2Ug/o.jpg,false,https://www.yelp.com/biz/botiwalla-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,553,indpak,Indian,,,,,4.5,33.772869,-84.366016,pickup,delivery,$$,675 Ponce De Leon Ave NE,,,Atlanta,30308,US,GA,675 Ponce De Leon Ave NE,"Atlanta, GA 30308",+14702258963,(470) 225-8963,622.7179371751413,
3ehyrexo3WcoTy74c2jDKA,flying-biscuit-café-midtown-atlanta,Flying Biscuit Café - Midtown,https://s3-media4.fl.yelpcdn.com/bphoto/9PiLUl2SWUyIQhOECrBcsA/o.jpg,false,https://www.yelp.com/biz/flying-biscuit-caf%C3%A9-midtown-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,1875,breakfast_brunch,Breakfast & Brunch,southern,Southern,newamerican,American (New),4,33.782,-84.38015,pickup,delivery,$$,1001 Piedmont Ave,,,Atlanta,30309,US,GA,1001 Piedmont Ave,"Atlanta, GA 30309",+14048748887,(404) 874-8887,1345.6538276546762,
1i63faxXI1TQ7pNlLp3IPQ,cypress-street-pint-and-plate-atlanta,Cypress Street Pint & Plate,https://s3-media4.fl.yelpcdn.com/bphoto/A8wfrOnwev2EW5SNdlmuqA/o.jpg,false,https://www.yelp.com/biz/cypress-street-pint-and-plate-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,1473,gastropubs,Gastropubs,,,,,4,33.77740254666951,-84.3861436976034,delivery,,$$,817 W Peachtree St NE,,,Atlanta,30308,US,GA,817 W Peachtree St NE,"Atlanta, GA 30308",+14048159243,(404) 815-9243,1402.816684852652,
bP6goJODwRnM3AVy45Kn9w,papis-cuban-and-caribbean-grill-atlanta,Papi's Cuban & Caribbean Grill,https://s3-media1.fl.yelpcdn.com/bphoto/6V8VBOJ1KRoNKgL5Cf6MUw/o.jpg,false,https://www.yelp.com/biz/papis-cuban-and-caribbean-grill-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,1147,cuban,Cuban,caribbean,Caribbean,,,4,33.772758,-84.380375,pickup,delivery,$$,216 Ponce De Leon Ave NE,,,Atlanta,30308,US,GA,216 Ponce De Leon Ave NE,"Atlanta, GA 30308",+14046071525,(404) 607-1525,727.7562362376482,
Or5vdm-okztVKK8-3Wm1FQ,barcelona-inman-park-atlanta,Barcelona Inman Park,https://s3-media4.fl.yelpcdn.com/bphoto/XmQjpax6GF3fTkHCqJOqvQ/o.jpg,false,https://www.yelp.com/biz/barcelona-inman-park-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,1401,spanish,Spanish,tapasmallplates,Tapas/Small Plates,tapas,Tapas Bars,4,33.762945,-84.359655,delivery,,$$,240 N Highland Ave NE,,,Atlanta,30307,US,GA,240 N Highland Ave NE,"Atlanta, GA 30307",+14045891010,(404) 589-1010,1542.9861753491612,
_2LfhO4Mqa-owUtSFgSblA,beetlecat-atlanta,BeetleCat,https://s3-media1.fl.yelpcdn.com/bphoto/2SKA67FvOtV1CeQwcGWKYA/o.jpg,false,https://www.yelp.com/biz/beetlecat-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,1231,seafood,Seafood,desserts,Desserts,wine_bars,Wine Bars,4,33.7626617912368,-84.3581965753937,delivery,,$$$,299 North Highland Ave NE,,,Atlanta,30307,US,GA,299 North Highland Ave NE,"Atlanta, GA 30307",+16787320360,(678) 732-0360,1668.5467419894928,
_F7t1ie5c299zxVJwwsd3g,delbar-middle-eastern-atlanta,Delbar Middle Eastern,https://s3-media4.fl.yelpcdn.com/bphoto/u1sLWv8aFOYnGPaUGCuQ2Q/o.jpg,false,https://www.yelp.com/biz/delbar-middle-eastern-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,646,persian,Persian/Iranian,lebanese,Lebanese,,,4.5,33.761615,-84.3602065,pickup,delivery,$$$,870 Inman Village Pkwy NE,,,Atlanta,30307,US,GA,870 Inman Village Pkwy NE,"Atlanta, GA 30307",+14045001444,(404) 500-1444,1603.5020774227073,
rP90TP7gOMzBFTrKWEEsOw,ecco-midtown-atlanta,Ecco Midtown,https://s3-media2.fl.yelpcdn.com/bphoto/IAMubM4oEEpDWzgXO7ByaA/o.jpg,false,https://www.yelp.com/biz/ecco-midtown-atlanta?adjust_creative=BEeVVarpxR5Q2ckmVkwTIQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BEeVVarpxR5Q2ckmVkwTIQ,972,modern_european,Modern European,cocktailbars,Cocktail Bars,italian,Italian,4,33.7789,-84.38604,delivery,,$$$,40 7th St NE,,,Atlanta,30308,US,GA,40 7th St NE,"Atlanta, GA 30308",+14043479555,(404) 347-9555,1462.3946263015052,
